artiId;artiNombre;fechaIni;fuenId;fuenNombre;futiId;maximoKg;minimoKg;promedioKg
236;Leche en polvo;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;27778;19904;24880
8;Lechuga Batavia;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2400;2300;2317
61;Ajo importado;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;11500;11000;11333
283;Alas de pollo con costillar;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;5600;5000;5333
260;Carne de res, lomo fino;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;22000;22000;22000
262;Carne de res, morrillo;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;13600;13000;13400
224;Lenteja importada;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2224;2184;2203
195;Arracacha amarilla;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2560;2400;2507
201;Arroz de primera;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3520;3360;3440
263;Carne de res, muchacho;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;17000;17000;17000
266;Carne de res, pecho;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;14000;14000
79;Limón común valluno;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3000;2500;2800
336;Lomitos de atún en lata;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;30221;29375;29657
267;Carne de res, punta de anca;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;18000;17000;17333
268;Carne de res, sobrebarriga;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;14000;14000
116;Lulo;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3300;3200;3217
38;Arveja verde en vaina pastusa;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3680;3440;3580
207;Arveja verde seca importada;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1960;1840;1900
19;Cebolla cabezona blanca bogotana;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;833;792;813
200;Ulluco;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2600;2500;2550
279;Carne de cerdo, pernil sin hueso;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;14000;14000
282;Carne de cerdo, tocino papada;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;8000;8000;8000
43;Habichuela;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2800;2000;2507
362;Harina de trigo;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1904;1872;1885
5200;Papa Betina;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;640;560;593
157;Papa capira;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;740;700;715
191;Yuca chirosa;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1400;1200;1320
252;Carne de res, bola de brazo;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;17000;16600;16867
253;Carne de res, bola de pierna;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;17000;16000;16333
363;Harina precocida de maíz;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3348;3008;3207
242;Huevo blanco A;2020-02-15T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;350;350;350
