Fecha;Grupo;Producto;Mercado;Precio  por kilogramo
mar-20;TUBERCULOS, RAICES Y PLATANOS;Arracacha amarilla;Buenaventura (Valle del Cauca); 2,738 
mar-20;TUBERCULOS, RAICES Y PLATANOS;Papa Betina;Buenaventura (Valle del Cauca); 867 
mar-20;TUBERCULOS, RAICES Y PLATANOS;Papa capira;Buenaventura (Valle del Cauca); 988 
mar-20;TUBERCULOS, RAICES Y PLATANOS;Papa suprema;Buenaventura (Valle del Cauca); 940 
mar-20;TUBERCULOS, RAICES Y PLATANOS;Papa única;Buenaventura (Valle del Cauca); 879 
mar-20;TUBERCULOS, RAICES Y PLATANOS;Ulluco;Buenaventura (Valle del Cauca); 2,663 
mar-20;TUBERCULOS, RAICES Y PLATANOS;Yuca chirosa;Buenaventura (Valle del Cauca); 1,286 
mar-20;GRANOS Y CEREALES;Arroz de primera;Buenaventura (Valle del Cauca); 3,571 
mar-20;GRANOS Y CEREALES;Arveja verde seca importada;Buenaventura (Valle del Cauca); 1,909 
mar-20;GRANOS Y CEREALES;Fríjol calima;Buenaventura (Valle del Cauca); 4,527 
mar-20;GRANOS Y CEREALES;Lenteja importada;Buenaventura (Valle del Cauca); 2,201 
mar-20;LACTEOS Y HUEVOS;Huevo blanco A;Buenaventura (Valle del Cauca); 348 
mar-20;LACTEOS Y HUEVOS;Leche en polvo;Buenaventura (Valle del Cauca); 24,454 
mar-20;LACTEOS Y HUEVOS;Queso costeño;Buenaventura (Valle del Cauca); 17,773 
mar-20;LACTEOS Y HUEVOS;Queso cuajada;Buenaventura (Valle del Cauca); 10,580 
mar-20;LACTEOS Y HUEVOS;Queso doble crema;Buenaventura (Valle del Cauca); 12,200 
mar-20;CARNES;Alas de pollo con costillar;Buenaventura (Valle del Cauca); 5,480 
mar-20;CARNES;Carne de cerdo, brazo sin hueso;Buenaventura (Valle del Cauca); 14,333 
mar-20;CARNES;Carne de cerdo, costilla;Buenaventura (Valle del Cauca); 14,400 
mar-20;CARNES;Carne de cerdo, espinazo;Buenaventura (Valle del Cauca); 10,000 
mar-20;CARNES;Carne de cerdo, lomo sin hueso;Buenaventura (Valle del Cauca); 16,133 
mar-20;CARNES;Carne de cerdo, pernil sin hueso;Buenaventura (Valle del Cauca); 14,600 
mar-20;CARNES;Carne de cerdo, tocino papada;Buenaventura (Valle del Cauca); 8,000 
mar-20;CARNES;Carne de res, bola de brazo;Buenaventura (Valle del Cauca); 17,493 
mar-20;CARNES;Carne de res, bola de pierna;Buenaventura (Valle del Cauca); 16,933 
mar-20;CARNES;Carne de res, cadera;Buenaventura (Valle del Cauca); 17,600 
mar-20;CARNES;Carne de res, costilla;Buenaventura (Valle del Cauca); 10,893 
mar-20;CARNES;Carne de res, falda;Buenaventura (Valle del Cauca); 14,000 
mar-20;CARNES;Carne de res, lomo fino;Buenaventura (Valle del Cauca); 22,000 
mar-20;CARNES;Carne de res, morrillo;Buenaventura (Valle del Cauca); 12,667 
mar-20;CARNES;Carne de res, muchacho;Buenaventura (Valle del Cauca); 16,933 
mar-20;CARNES;Carne de res, pecho;Buenaventura (Valle del Cauca); 14,000 
mar-20;CARNES;Carne de res, punta de anca;Buenaventura (Valle del Cauca); 18,067 
mar-20;CARNES;Carne de res, sobrebarriga;Buenaventura (Valle del Cauca); 14,000 
mar-20;CARNES;Pechuga de pollo;Buenaventura (Valle del Cauca); 8,100 
mar-20;CARNES;Pierna pernil con rabadilla;Buenaventura (Valle del Cauca); 4,840 
mar-13;PESCADOS;Corvina, filete congelado nacional;Buenaventura (Valle del Cauca);16,000
mar-20;PESCADOS;Langostino 16-20;Buenaventura (Valle del Cauca); 46,333 
mar-20;PESCADOS;Pargo rojo platero;Buenaventura (Valle del Cauca); 22,367 
mar-20;PESCADOS;Sierra entera congelada;Buenaventura (Valle del Cauca); 12,133 
mar-20;PROCESADOS;Aceite vegetal mezcla;Buenaventura (Valle del Cauca); 5,540 
mar-20;PROCESADOS;Azúcar sulfitada;Buenaventura (Valle del Cauca); 2,353 
mar-20;PROCESADOS;Café instantáneo;Buenaventura (Valle del Cauca); 90,335 
mar-20;PROCESADOS;Chocolate amargo;Buenaventura (Valle del Cauca); 22,541 
mar-20;PROCESADOS;Galletas saladas;Buenaventura (Valle del Cauca); 10,269 
mar-20;PROCESADOS;Gelatina;Buenaventura (Valle del Cauca); 22,530 
mar-20;PROCESADOS;Harina de trigo;Buenaventura (Valle del Cauca); 1,989 
mar-20;PROCESADOS;Harina precocida de maíz;Buenaventura (Valle del Cauca); 3,332 
mar-20;PROCESADOS;Jugo instantáneo (sobre);Buenaventura (Valle del Cauca); 25,704 
mar-20;PROCESADOS;Lomitos de atún en lata;Buenaventura (Valle del Cauca); 29,750 
mar-20;PROCESADOS;Manteca;Buenaventura (Valle del Cauca); 5,137 
mar-20;PROCESADOS;Margarina;Buenaventura (Valle del Cauca); 17,323 
mar-20;PROCESADOS;Mayonesa doy pack;Buenaventura (Valle del Cauca); 16,991 
mar-20;PROCESADOS;Pastas alimenticias;Buenaventura (Valle del Cauca); 5,399 
mar-20;PROCESADOS;Sal yodada;Buenaventura (Valle del Cauca); 811 
mar-20;PROCESADOS;Salsa de tomate doy pack;Buenaventura (Valle del Cauca); 13,485 
mar-20;PROCESADOS;Sardinas en lata;Buenaventura (Valle del Cauca); 7,072 
abr-20;VERDURAS Y HORTALIZAS;Ahuyama;Buenaventura (Valle del Cauca); 1,071 
abr-20;VERDURAS Y HORTALIZAS;Ajo importado;Buenaventura (Valle del Cauca); 10,767 
